frame,time_s,people_count,vehicle_count,alerts
1,0.05,0,0,[]
2,0.1,0,0,[]
3,0.15,0,0,[]
4,0.2,0,0,[]
5,0.25,0,0,[]
6,0.3,0,0,[]
7,0.35,0,0,[]
8,0.4,0,0,[]
9,0.45,0,0,[]
10,0.5,0,0,[]
11,0.55,0,0,[]
12,0.6,0,0,[]
13,0.65,0,0,[]
14,0.7,0,0,[]
15,0.75,0,0,[]
16,0.8,0,0,[]
17,0.85,0,0,[]
18,0.9,0,0,[]
19,0.95,0,0,[]
20,1.0,0,0,[]
21,1.05,0,0,[]
22,1.1,0,0,[]
23,1.15,0,0,[]
24,1.2,0,0,[]
25,1.25,0,0,[]
26,1.3,0,0,[]
27,1.35,0,0,[]
28,1.4,0,0,[]
29,1.45,0,0,[]
30,1.5,0,0,[]
31,1.55,0,0,[]
32,1.6,0,0,[]
33,1.65,0,0,[]
34,1.7,0,0,[]
35,1.75,0,0,[]
36,1.8,0,0,[]
37,1.85,0,0,[]
38,1.9,0,0,[]
39,1.95,0,0,[]
40,2.0,0,0,[]
41,2.05,0,0,[]
42,2.1,0,0,[]
43,2.15,0,0,[]
44,2.2,0,0,[]
45,2.25,0,0,[]
46,2.3,0,0,[]
47,2.35,0,0,[]
48,2.4,0,0,[]
49,2.45,0,0,[]
50,2.5,0,0,[]
